SPECIES,Sp_Rel_Code,Q1,W1,Q2,Relationship,AveDIST,Colony.Specific.Foraging.Distance,Col.All_Summer_Flower_Cover_Prop,Col.Worker_Preferred_Summer_Flower_Cover_Prop,Col.All_Spring_Flower_Cover_Prop,Col.Queen_Visited_Spring_Flower_Cover_Prop,Col.Spring_Plus_Summer_Flower_Cover_Prop,Col.Arable,Col.Mixed.Vegetation,Col.Nesting_high,250.All_Summer_Flower_Cover_Prop,250.Worker_Preferred_Summer_Flower_Cover_Prop,250.All_Spring_Flower_Cover_Prop,250.Queen_Visited_Spring_Flower_Cover_Prop,250.Spring_Plus_Summer_Flower_Cover_Prop,250.Arable,250.Mixed.Vegetation,250.Nesting_high,500.All_Summer_Flower_Cover_Prop,500.Worker_Preferred_Summer_Flower_Cover_Prop,500.All_Spring_Flower_Cover_Prop,500.Queen_Visited_Spring_Flower_Cover_Prop,500.Spring_Plus_Summer_Flower_Cover_Prop,500.Arable,500.Mixed.Vegetation,500.Nesting_high,1000.All_Summer_Flower_Cover_Prop,1000.Worker_Preferred_Summer_Flower_Cover_Prop,1000.All_Spring_Flower_Cover_Prop,1000.Queen_Visited_Spring_Flower_Cover_Prop,1000.Spring_Plus_Summer_Flower_Cover_Prop,1000.Arable,1000.Mixed.Vegetation,1000.Nesting_high
Bpas,Bpas_1427,0,2,0,Workers 2011 only ,  NA,473.5,0.656791825,0.022876393,0.484122411,0.465666879,0.488543272,0.752247254,0.107886748,0.077114644,0.723696293,0.003397805,0.66463934,0.66067929,0.664077095,0.929921311,0.020574886,0.024548936,0.642906569,0.023022907,0.456357419,0.436937184,0.459960091,0.735025666,0.115591728,0.083309234,0.527820004,0.0184937,0.32475978,0.287760627,0.306254327,0.6659392,0.105181995,0.078319724
Bpas,Bpas_1428,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1429,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1430,0,2,0,Workers 2011 only ,  NA,576.5,0.255903828,0.018451237,0.26931645,0.107503668,0.125954905,0.795271018,0.052449319,0.03274676,0.190231451,0.033279692,0.284327541,0.176812824,0.210092516,0.794088217,0.073798307,0.022543194,0.271156934,0.021628003,0.288368835,0.112218224,0.133846227,0.800173967,0.053004093,0.03049477,0.402868036,0.016765826,0.30334148,0.087722478,0.104488304,0.676048469,0.084462097,0.066012174
Bpas,Bpas_1431,0,2,0,Workers 2011 only ,  NA,115,0.420806516,0.064566136,0.201213124,0.041210056,0.105776192,0.028943449,0.33524676,0.369884426,0.43277289,0.05559904,0.207867401,0.044582553,0.100181593,0.224879054,0.333015256,0.310972626,0.400532273,0.037152381,0.170627957,0.058991765,0.096144146,0.379607386,0.232516035,0.209905682,0.517369916,0.022300504,0.309654764,0.227698002,0.249998506,0.631247501,0.091713076,0.0732942
Bpas,Bpas_1433,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1434,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1435,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1436,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1437,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1438,0,3,0,Workers 2011 only ,  NA,319.6666667,0.785698158,0.03705003,0.546106902,0.505668621,0.542718651,0.493965813,0.102786302,0.050436672,0.763828095,0.043073846,0.485546308,0.446600966,0.489674812,0.429089645,0.117116691,0.074507544,0.763031708,0.029192818,0.600882091,0.559886856,0.589079674,0.599076522,0.116247262,0.069602247,0.548722854,0.018562823,0.410608449,0.375814604,0.394377427,0.72180383,0.102864059,0.076929227
Bpas,Bpas_1439,0,2,0,Workers 2011 only ,  NA,1260.5,0.468129335,0.019102299,0.372860384,0.1577822,0.176884499,0.622496311,0.073874479,0.056480945,0.439061552,0.008128267,0.353634957,0.011676023,0.01980429,0.933688576,0.017965899,0.005202209,0.238889586,0.008417626,0.229501967,0.05595494,0.064372566,0.795032511,0.030344194,0.018250676,0.362865058,0.02044218,0.310741399,0.110115489,0.130557669,0.603780374,0.068075802,0.051879629
Bpas,Bpas_1440,0,2,0,Workers 2011 only ,  NA,221,0.958213754,0.053337307,0.730557576,0.010841237,0.064178544,0.82793957,0.092397754,0.010094012,0.963905695,0.059849746,0.72759272,0.009865927,0.069715673,0.811948942,0.096122356,0.011965583,0.937359287,0.075836547,0.687062957,0.064663796,0.140500343,0.731384316,0.066376746,0.039737551,0.632547842,0.068141595,0.46349849,0.08872582,0.156867415,0.604928114,0.051354718,0.031615325
Bpas,Bpas_1441,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1442,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1443,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1444,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1445,0,2,0,Workers 2011 only ,  NA,570,0.314003641,0.018065415,0.230228644,0.010142283,0.028207698,0.47250572,0.034298101,0.021239674,0.357326143,0.034171716,0.24790447,0.009605677,0.043777393,0.475403331,0.0405929,0.027101123,0.333125268,0.016894763,0.244678705,0.008111752,0.025006515,0.465530576,0.033582916,0.023058934,0.359409998,0.020501493,0.290517799,0.072744417,0.09324591,0.569921797,0.038955161,0.023289835
Bpas,Bpas_1446,0,2,0,Workers 2011 only ,  NA,161,0.621892445,0.021634569,0.328665016,0.234725736,0.256360305,0.182799911,0.156448541,0.0408923,0.733610314,0.02111786,0.417993491,0.352912987,0.374030847,0.340335674,0.130822301,0.071421887,0.696884969,0.033560659,0.487049282,0.423877145,0.457437804,0.474599868,0.177158225,0.139175261,0.552358561,0.019624762,0.359972944,0.323074873,0.342699635,0.716309966,0.103273605,0.080047721
Bpas,Bpas_1447,0,2,0,Workers 2011 only ,  NA,319.5,0.891097599,0.029550339,0.701253737,0.009148111,0.03869845,0.830427699,0.07401667,0.005816387,0.92547604,0.019945641,0.734582926,0.007274427,0.027220068,0.88937618,0.058382204,0.001858763,0.846582475,0.027113659,0.660792342,0.012151016,0.039264675,0.776180515,0.073034791,0.03313485,0.600475745,0.052263987,0.44764589,0.079491881,0.131755868,0.632253609,0.047067896,0.03157381
Bpas,Bpas_1448,0,2,0,Workers 2011 only ,  NA,6.5,0.064556554,0.010110801,0.017626692,0.014340165,0.024450966,0,0.953849184,0.953849184,0.823325032,0.01428983,0.659025341,0.021287562,0.035577392,0.855862672,0.093557157,0.088341882,0.753615472,0.013411477,0.613408036,0.055845793,0.06925727,0.850275862,0.069141424,0.039288354,0.545470933,0.035473831,0.447290977,0.101472139,0.13694597,0.667664804,0.050840209,0.031681434
Bpas,Bpas_1449,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1450,0,2,0,Workers 2011 only ,  NA,858,0.598899565,0.15294522,0.344694601,0.079597382,0.232542602,0.324467092,0.040441679,0.027637877,0.813478538,0.347261805,0.280734776,0.007479902,0.354741707,0,0,0.011832766,0.668777557,0.226268443,0.288947431,0.055215404,0.281483847,0.128311486,0.051476073,0.044521614,0.589835619,0.133953783,0.360974797,0.072054385,0.206008168,0.372559923,0.036505398,0.023597584
Bpas,Bpas_1451,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1452,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bpas,Bpas_1453,0,1,0,Workers 2011 only ,  NA,  NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
